"Instance_number","'True Positives'","'False Negatives'","'False Positives'","'True Negatives'","'False Positive Rate'","'True Positive Rate'","Precision","Recall","Fallout","FMeasure","'Sample Size'","Lift","Threshold"
99,927,206,2290,17267,0.117094,0.818182,0.288157,0.818182,0.711843,0.426207,0.155486,5.262102,0.013074
100,927,206,2288,17269,0.116991,0.818182,0.288336,0.818182,0.711664,0.426403,0.155389,5.265375,0.013098
101,927,206,2285,17272,0.116838,0.818182,0.288605,0.818182,0.711395,0.426697,0.155244,5.270293,0.0131
102,927,206,2283,17274,0.116736,0.818182,0.288785,0.818182,0.711215,0.426894,0.155147,5.273577,0.013106
103,926,207,2278,17279,0.11648,0.817299,0.289014,0.817299,0.710986,0.427023,0.154857,5.277753,0.013119
104,926,207,2274,17283,0.116276,0.817299,0.289375,0.817299,0.710625,0.427417,0.154664,5.28435,0.013138
105,926,207,2271,17286,0.116122,0.817299,0.289647,0.817299,0.710353,0.427714,0.154519,5.289309,0.013142
106,926,207,2269,17288,0.11602,0.817299,0.289828,0.817299,0.710172,0.427911,0.154422,5.29262,0.013145
107,926,207,2264,17293,0.115764,0.817299,0.290282,0.817299,0.709718,0.428406,0.154181,5.300916,0.013183
108,926,207,2262,17295,0.115662,0.817299,0.290464,0.817299,0.709536,0.428604,0.154084,5.304241,0.013186
109,926,207,2261,17296,0.115611,0.817299,0.290555,0.817299,0.709445,0.428704,0.154036,5.305905,0.013219
110,926,207,2259,17298,0.115509,0.817299,0.290738,0.817299,0.709262,0.428902,0.153939,5.309237,0.01322
111,926,207,2257,17300,0.115406,0.817299,0.290921,0.817299,0.709079,0.429101,0.153842,5.312573,0.013235
112,926,207,2256,17301,0.115355,0.817299,0.291012,0.817299,0.708988,0.4292,0.153794,5.314243,0.013256
113,926,207,2255,17302,0.115304,0.817299,0.291103,0.817299,0.708897,0.4293,0.153746,5.315913,0.013264
114,926,207,2250,17307,0.115048,0.817299,0.291562,0.817299,0.708438,0.429798,0.153504,5.324282,0.013293
115,926,207,2247,17310,0.114895,0.817299,0.291837,0.817299,0.708163,0.430098,0.153359,5.329316,0.013298
116,926,207,2246,17311,0.114844,0.817299,0.291929,0.817299,0.708071,0.430197,0.153311,5.330996,0.013302
117,926,207,2243,17314,0.11469,0.817299,0.292206,0.817299,0.707794,0.430497,0.153166,5.336043,0.013326
118,926,207,2242,17315,0.114639,0.817299,0.292298,0.817299,0.707702,0.430598,0.153117,5.337727,0.013341
119,926,207,2241,17316,0.114588,0.817299,0.29239,0.817299,0.70761,0.430698,0.153069,5.339413,0.013346
120,926,207,2238,17319,0.114435,0.817299,0.292668,0.817299,0.707332,0.430998,0.152924,5.344476,0.013372
121,926,207,2236,17321,0.114332,0.817299,0.292853,0.817299,0.707147,0.431199,0.152827,5.347856,0.013377
122,926,207,2234,17323,0.11423,0.817299,0.293038,0.817299,0.706962,0.4314,0.152731,5.351241,0.013386
123,926,207,2232,17325,0.114128,0.817299,0.293224,0.817299,0.706776,0.431601,0.152634,5.35463,0.01342
124,925,208,2231,17326,0.114077,0.816417,0.293093,0.816417,0.706907,0.431336,0.152537,5.352237,0.01344
125,925,208,2229,17328,0.113975,0.816417,0.293278,0.816417,0.706722,0.431537,0.152441,5.355631,0.013466
126,925,208,2225,17332,0.11377,0.816417,0.293651,0.816417,0.706349,0.43194,0.152247,5.362432,0.013475
127,925,208,2223,17334,0.113668,0.816417,0.293837,0.816417,0.706163,0.432142,0.152151,5.365838,0.013477
128,925,208,2221,17336,0.113565,0.816417,0.294024,0.816417,0.705976,0.432344,0.152054,5.36925,0.013492
129,925,208,2220,17337,0.113514,0.816417,0.294118,0.816417,0.705882,0.432445,0.152006,5.370957,0.013502
130,925,208,2218,17339,0.113412,0.816417,0.294305,0.816417,0.705695,0.432647,0.151909,5.374375,0.013511
131,925,208,2215,17342,0.113259,0.816417,0.294586,0.816417,0.705414,0.432951,0.151764,5.379509,0.013538
132,925,208,2212,17345,0.113105,0.816417,0.294868,0.816417,0.705132,0.433255,0.151619,5.384654,0.013557
133,925,208,2211,17346,0.113054,0.816417,0.294962,0.816417,0.705038,0.433357,0.151571,5.386371,0.013603
134,925,208,2210,17347,0.113003,0.816417,0.295056,0.816417,0.704944,0.433458,0.151522,5.388089,0.013607
135,925,208,2209,17348,0.112952,0.816417,0.29515,0.816417,0.70485,0.43356,0.151474,5.389808,0.013615
136,925,208,2208,17349,0.112901,0.816417,0.295244,0.816417,0.704756,0.433662,0.151426,5.391529,0.01363
137,925,208,2207,17350,0.11285,0.816417,0.295338,0.816417,0.704662,0.433763,0.151377,5.39325,0.01364
138,925,208,2204,17353,0.112696,0.816417,0.295622,0.816417,0.704378,0.434069,0.151232,5.398421,0.013666
139,925,208,2201,17356,0.112543,0.816417,0.295905,0.816417,0.704095,0.434374,0.151087,5.403602,0.013667
140,925,208,2200,17357,0.112492,0.816417,0.296,0.816417,0.704,0.434476,0.151039,5.405331,0.013678
141,925,208,2197,17360,0.112338,0.816417,0.296284,0.816417,0.703716,0.434783,0.150894,5.410525,0.013726
142,925,208,2196,17361,0.112287,0.816417,0.296379,0.816417,0.703621,0.434885,0.150846,5.412259,0.013732
143,925,208,2195,17362,0.112236,0.816417,0.296474,0.816417,0.703526,0.434987,0.150797,5.413993,0.013741
144,925,208,2194,17363,0.112185,0.816417,0.296569,0.816417,0.703431,0.435089,0.150749,5.415729,0.013742
145,925,208,2192,17365,0.112083,0.816417,0.29676,0.816417,0.70324,0.435294,0.150652,5.419204,0.013761
146,925,208,2190,17367,0.11198,0.816417,0.29695,0.816417,0.70305,0.435499,0.150556,5.422684,0.013772
147,925,208,2187,17370,0.111827,0.816417,0.297237,0.816417,0.702763,0.435807,0.150411,5.427911,0.013787
148,925,208,2186,17371,0.111776,0.816417,0.297332,0.816417,0.702668,0.43591,0.150362,5.429656,0.013794
149,925,208,2184,17373,0.111674,0.816417,0.297523,0.816417,0.702477,0.436115,0.150266,5.433149,0.013797
150,925,208,2183,17374,0.111622,0.816417,0.297619,0.816417,0.702381,0.436218,0.150217,5.434897,0.013801
151,925,208,2182,17375,0.111571,0.816417,0.297715,0.816417,0.702285,0.436321,0.150169,5.436646,0.013861
152,925,208,2179,17378,0.111418,0.816417,0.298003,0.816417,0.701997,0.43663,0.150024,5.441901,0.013865
153,925,208,2178,17379,0.111367,0.816417,0.298099,0.816417,0.701901,0.436733,0.149976,5.443654,0.013895
154,925,208,2175,17382,0.111213,0.816417,0.298387,0.816417,0.701613,0.437042,0.149831,5.448922,0.013908
155,925,208,2173,17384,0.111111,0.816417,0.29858,0.816417,0.70142,0.437249,0.149734,5.45244,0.013917
156,925,208,2171,17386,0.111009,0.816417,0.298773,0.816417,0.701227,0.437456,0.149638,5.455962,0.013928
157,925,208,2169,17388,0.110907,0.816417,0.298966,0.816417,0.701034,0.437663,0.149541,5.459489,0.013931
158,925,208,2166,17391,0.110753,0.816417,0.299256,0.816417,0.700744,0.437973,0.149396,5.464788,0.013999
159,925,208,2165,17392,0.110702,0.816417,0.299353,0.816417,0.700647,0.438077,0.149348,5.466556,0.014001
160,925,208,2164,17393,0.110651,0.816417,0.29945,0.816417,0.70055,0.438181,0.149299,5.468326,0.014003
161,925,208,2163,17394,0.1106,0.816417,0.299547,0.816417,0.700453,0.438285,0.149251,5.470097,0.014023
162,925,208,2160,17397,0.110446,0.816417,0.299838,0.816417,0.700162,0.438596,0.149106,5.475416,0.014032
163,925,208,2159,17398,0.110395,0.816417,0.299935,0.816417,0.700065,0.4387,0.149058,5.477192,0.014047
164,925,208,2158,17399,0.110344,0.816417,0.300032,0.816417,0.699968,0.438805,0.149009,5.478968,0.014058
165,925,208,2157,17400,0.110293,0.816417,0.30013,0.816417,0.69987,0.438909,0.148961,5.480746,0.014059
166,925,208,2153,17404,0.110088,0.816417,0.30052,0.816417,0.69948,0.439326,0.148768,5.487869,0.014068
167,925,208,2151,17406,0.109986,0.816417,0.300715,0.816417,0.699285,0.439534,0.148671,5.491437,0.014141
168,925,208,2150,17407,0.109935,0.816417,0.300813,0.816417,0.699187,0.439639,0.148623,5.493223,0.014169
169,925,208,2148,17409,0.109833,0.816417,0.301009,0.816417,0.698991,0.439848,0.148526,5.496798,0.01419
170,925,208,2144,17413,0.109628,0.816417,0.301401,0.816417,0.698599,0.440267,0.148333,5.503962,0.014191
171,925,208,2143,17414,0.109577,0.816417,0.301499,0.816417,0.698501,0.440371,0.148284,5.505756,0.014197
172,925,208,2142,17415,0.109526,0.816417,0.301598,0.816417,0.698402,0.440476,0.148236,5.507551,0.014209
173,925,208,2141,17416,0.109475,0.816417,0.301696,0.816417,0.698304,0.440581,0.148188,5.509347,0.014279
174,925,208,2140,17417,0.109424,0.816417,0.301794,0.816417,0.698206,0.440686,0.148139,5.511145,0.014283
175,925,208,2138,17419,0.109321,0.816417,0.301992,0.816417,0.698008,0.440896,0.148043,5.514743,0.014318
176,925,208,2137,17420,0.10927,0.816417,0.30209,0.816417,0.69791,0.441001,0.147994,5.516545,0.014327
177,924,209,2135,17422,0.109168,0.815534,0.302059,0.815534,0.697941,0.44084,0.147849,5.515985,0.014337
178,924,209,2134,17423,0.109117,0.815534,0.302158,0.815534,0.697842,0.440945,0.147801,5.517789,0.014353
179,923,210,2132,17425,0.109015,0.814651,0.302128,0.814651,0.697872,0.440783,0.147656,5.51723,0.01443
180,923,210,2130,17427,0.108912,0.814651,0.302326,0.814651,0.697674,0.440994,0.147559,5.520844,0.014467
181,922,211,2129,17428,0.108861,0.813769,0.302196,0.813769,0.697804,0.440727,0.147463,5.518478,0.014472
182,922,211,2127,17430,0.108759,0.813769,0.302394,0.813769,0.697606,0.440937,0.147366,5.522098,0.014482
183,922,211,2126,17431,0.108708,0.813769,0.302493,0.813769,0.697507,0.441043,0.147318,5.523909,0.014488
184,921,212,2125,17432,0.108657,0.812886,0.302364,0.812886,0.697636,0.440775,0.147221,5.521541,0.014569
185,921,212,2124,17433,0.108606,0.812886,0.302463,0.812886,0.697537,0.440881,0.147173,5.523354,0.01458
186,920,213,2124,17433,0.108606,0.812004,0.302234,0.812004,0.697766,0.440508,0.147124,5.51917,0.014588
187,919,214,2123,17434,0.108554,0.811121,0.302104,0.811121,0.697896,0.44024,0.147028,5.516795,0.014617
188,919,214,2121,17436,0.108452,0.811121,0.302303,0.811121,0.697697,0.440451,0.146931,5.520425,0.014618
189,919,214,2120,17437,0.108401,0.811121,0.302402,0.811121,0.697598,0.440556,0.146883,5.522241,0.014629
190,919,214,2118,17439,0.108299,0.811121,0.302601,0.811121,0.697399,0.440767,0.146786,5.525878,0.014643
191,918,215,2118,17439,0.108299,0.810238,0.302372,0.810238,0.697628,0.440393,0.146738,5.521683,0.014653
